risk_decile,n,predicted_mean,actual_slow_rate
1,2467,0.02408802008182015,0.04377786785569518
2,2445,0.031305155153042226,0.03803680981595092
3,2451,0.04567740672127521,0.04039167686658507
4,2471,0.09144947544517083,0.09995953055443141
5,2462,0.14891881278942745,0.1685621445978879
6,2431,0.17550875983760986,0.2171945701357466
7,2452,0.21275245231293968,0.3743882544861338
8,2455,0.24793982634799136,0.4460285132382892
9,2453,0.2839880040483415,0.4626987362413371
10,2452,0.3754049043520501,0.6076672104404568
